table_name,column_name,data_type,is_nullable,column_default
access_requests,id,text,NO,"('ar-'::text || replace((gen_random_uuid())::text, '-'::text, ''::text))"
access_requests,kind,text,NO,""
access_requests,org_name,text,NO,""
access_requests,contact_name,text,YES,""
access_requests,contact_email,text,YES,""
access_requests,contact_phone,text,YES,""
access_requests,sector,text,YES,""
access_requests,district,text,YES,""
access_requests,message,text,YES,""
access_requests,status,text,NO,'pending'::text
access_requests,provisioned_id,text,YES,""
access_requests,created_at,timestamp with time zone,NO,now()
access_requests,decided_at,timestamp with time zone,YES,""
access_requests,registration_no,text,YES,""
agent_referrals,id,text,NO,""
agent_referrals,ticket_id,text,NO,""
agent_referrals,phone,text,NO,""
agent_referrals,reason,text,NO,""
agent_referrals,stage,text,YES,""
agent_referrals,status,text,NO,'open'::text
agent_referrals,eta,text,YES,""
agent_referrals,created_at,timestamp with time zone,NO,now()
agent_referrals,resolved_at,timestamp with time zone,YES,""
agents,id,text,NO,""
agents,name,text,NO,""
agents,gender,text,YES,""
agents,employee_id,text,YES,""
agents,branch_id,text,NO,""
agents,center_lng,numeric,YES,""
agents,center_lat,numeric,YES,""
agents,phone,text,YES,""
agents,email,text,YES,""
agents,rating,numeric,YES,""
agents,performance,integer,YES,""
agents,status,text,NO,'active'::text
agents,languages,jsonb,NO,'[]'::jsonb
agents,specialties,jsonb,NO,'[]'::jsonb
agents,tenure_months,integer,YES,""
agents,joined_date,date,YES,""
agents,created_at,timestamp with time zone,NO,now()
agents,coverage_rate,integer,NO,0
branches,id,text,NO,""
branches,name,text,NO,""
branches,district_id,text,NO,""
branches,center_lng,numeric,YES,""
branches,center_lat,numeric,YES,""
branches,manager_name,text,YES,""
branches,manager_phone,text,YES,""
branches,manager_email,text,YES,""
branches,status,text,NO,'active'::text
branches,score,numeric,YES,""
branches,rank,integer,YES,""
branches,district_rank,integer,YES,""
branches,district_branch_count,integer,YES,""
branches,created_at,timestamp with time zone,NO,now()
branches,distributor_id,text,YES,""
claims,id,text,NO,""
claims,subscriber_id,text,NO,""
claims,type,text,NO,""
claims,status,text,NO,""
claims,amount,numeric,NO,""
claims,incident_date,date,YES,""
claims,submitted_date,date,NO,""
claims,description,text,YES,""
claims,created_at,timestamp with time zone,NO,now()
claims,product,text,NO,""
claims,discharge_date,date,YES,""
claims,nights,integer,YES,""
claims,provider,text,YES,""
claims,daily_benefit,numeric,YES,""
claims,expected_by,date,YES,(CURRENT_DATE + 10)
commission_config,id,text,NO,'default'::text
