relname,relrowsecurity,relforcerowsecurity,relkind
access_requests,t,t,r
agent_referrals,t,t,r
agents,t,t,r
branches,t,t,r
claims,t,t,r
commission_config,t,t,r
commissions,t,t,r
contact_submissions,t,t,r
contribution_run_uploads,t,t,r
contribution_runs,t,t,r
contribution_schedules,t,t,r
custody_transfers,t,t,r
demo_personas,t,t,r
distributors,t,t,r
districts,t,t,r
employer_invites,t,t,r
employers,t,t,r
entity_detach_log,t,f,r
entity_status_log,t,f,r
insurance_policies,t,t,r
money_nonces,t,t,r
nav_snapshots,t,t,r
nominee_claims,t,t,r
nominees,t,t,r
notifications,t,t,r
regions,t,t,r
settlement_batches,t,t,r
settlement_uploads,t,t,r
subscriber_balances,t,t,r
subscriber_balances_pre_nav,t,t,r
subscriber_insurance_products,t,t,r
subscriber_signup_uploads,t,t,r
subscribers,t,t,r
subscribers_unit_value_pre_nav,t,t,r
transactions,t,t,r
users,t,t,r
v_reconciliation_exceptions,f,f,v
withdrawals,t,t,r
