schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,access_requests,access_requests_select_admin,PERMISSIVE,{public},SELECT,((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'admin'::text),""
public,agent_referrals,agent_referrals_select_admin,PERMISSIVE,{public},SELECT,((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'admin'::text),""
public,agents,agents_insert_branch,PERMISSIVE,{public},INSERT,"",(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (branch_id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text)))
public,agents,agents_scope_distributor,RESTRICTIVE,{public},SELECT,"((COALESCE((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text), ''::text) <> 'distributor'::text) OR (branch_id IN ( SELECT distributor_branch_ids() AS distributor_branch_ids)))",""
public,agents,agents_select_admin,PERMISSIVE,{public},SELECT,((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'admin'::text),""
public,agents,agents_select_branch,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (branch_id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text))),""
public,agents,agents_select_distributor,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (branch_id IN ( SELECT distributor_branch_ids() AS distributor_branch_ids))),""
public,agents,agents_select_self,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'agent'::text) AND (id = (( SELECT auth.jwt() AS jwt) ->> 'agentId'::text))),""
public,agents,agents_select_subscriber,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'subscriber'::text) AND (id = subscriber_agent_id())),""
public,agents,agents_update_branch,PERMISSIVE,{public},UPDATE,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (branch_id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text))),(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (branch_id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text)))
public,branches,branches_insert_distributor,PERMISSIVE,{public},INSERT,"",(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (distributor_id = current_distributor_id()))
public,branches,branches_scope_distributor,RESTRICTIVE,{public},SELECT,"((COALESCE((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text), ''::text) <> 'distributor'::text) OR (distributor_id = current_distributor_id()))",""
public,branches,branches_select_admin,PERMISSIVE,{public},SELECT,((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'admin'::text),""
public,branches,branches_select_agent,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'agent'::text) AND (id = agent_branch_id())),""
public,branches,branches_select_distributor,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (distributor_id = current_distributor_id())),""
public,branches,branches_select_self,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text))),""
public,branches,branches_select_subscriber,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'subscriber'::text) AND (id = subscriber_branch_id())),""
public,branches,branches_update_distributor,PERMISSIVE,{public},UPDATE,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (distributor_id = current_distributor_id())),(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (distributor_id = current_distributor_id()))
public,claims,claims_select_admin,PERMISSIVE,{public},SELECT,((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'admin'::text),""
public,claims,claims_select_agent,PERMISSIVE,{public},SELECT,"(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'agent'::text) AND (EXISTS ( SELECT 1
   FROM subscribers s
  WHERE ((s.id = claims.subscriber_id) AND (s.agent_id = (( SELECT auth.jwt() AS jwt) ->> 'agentId'::text))))))",""
public,claims,claims_select_branch,PERMISSIVE,{public},SELECT,"(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'branch'::text) AND (EXISTS ( SELECT 1
   FROM (subscribers s
     JOIN agents a ON ((a.id = s.agent_id)))
  WHERE ((s.id = claims.subscriber_id) AND (a.branch_id = (( SELECT auth.jwt() AS jwt) ->> 'branchId'::text))))))",""
public,claims,claims_select_distributor,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'distributor'::text) AND (subscriber_id IN ( SELECT distributor_subscriber_ids() AS distributor_subscriber_ids))),""
public,claims,claims_select_self,PERMISSIVE,{public},SELECT,(((( SELECT auth.jwt() AS jwt) ->> 'app_role'::text) = 'subscriber'::text) AND (subscriber_id = (( SELECT auth.jwt() AS jwt) ->> 'subscriberId'::text))),""
