oid,proname,prosecdef,proconfig,args,lanname,anon_exec,auth_exec
29533,_admin_attention_thresholds,f,"search_path=public, pg_temp","",sql,f,t
29318,_assert_contribution_config_shape,f,"search_path=public, pg_temp",p_config jsonb,plpgsql,f,t
18359,_canonical_ug_phone,f,"search_path=public, pg_temp",raw text,plpgsql,f,t
18391,_demo_now,f,"search_path=pg_catalog, public","",sql,f,t
29534,_employer_grace_days,f,"search_path=public, pg_temp",p_cadence text,sql,f,t
29412,_hospital_cash_days,f,"search_path=public, pg_temp","",sql,f,t
21818,_insert_subscriber_chain,f,"search_path=public, pg_temp","p_payload jsonb, p_calling_agent_id text, p_amount_override numeric, p_skip_deposit boolean",plpgsql,f,t
29298,_normalize_contribution_config,f,"search_path=public, pg_temp",p_config jsonb,sql,f,t
29553,_resync_bucket_units,t,"search_path=public, pg_temp",p_subscriber_id text,sql,f,f
18011,_validate_signup_payload,f,"search_path=public, pg_temp",p_payload jsonb,plpgsql,f,t
29543,admin_notify,t,"search_path=public, pg_temp","p_recipient_role text, p_recipient_id text, p_type text, p_title text, p_body text, p_ref_id text, p_amount numeric",plpgsql,f,t
29336,agent_branch_id,t,"search_path=public, pg_temp","",sql,f,t
18662,apply_group_insurance,t,"search_path=public, pg_temp",p_cover numeric,plpgsql,f,t
18521,apply_settlement,t,"search_path=public, pg_temp","p_rows jsonb, p_nonce text",plpgsql,f,t
26051,approve_access_request,t,"search_path=public, pg_temp",p_id text,plpgsql,f,t
21785,block_inactive_employer_run,t,"search_path=public, pg_temp","",plpgsql,t,t
21783,block_inactive_employer_subscriber,t,"search_path=public, pg_temp","",plpgsql,t,t
21802,block_inactive_employer_subscriber_update,t,"search_path=public, pg_temp","",plpgsql,t,t
19725,cancel_employer_invite,t,"search_path=public, pg_temp",p_token text,plpgsql,f,t
29287,canonical_ug_phone,f,"search_path=public, pg_temp",p_raw text,sql,f,t
26182,commission_rate_for_branch,t,"search_path=public, pg_temp",p_branch_id text,sql,f,t
29390,create_distributor,t,"search_path=public, pg_temp","p_name text, p_manager_name text, p_manager_phone text, p_manager_email text, p_parent_id text, p_registration_no text",plpgsql,f,t
