role,table,op,expected,actual_outcome,actual_rows,actual_error,verdict,note
anon,access_requests,DELETE,DENY,ALLOWED,0,,PASS,
anon,access_requests,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""access_requests""",PASS,
anon,access_requests,SELECT,DENY,ALLOWED,0,,PASS,
anon,access_requests,UPDATE,DENY,ALLOWED,0,,PASS,
anon,agent_referrals,DELETE,DENY,ALLOWED,0,,PASS,
anon,agent_referrals,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agent_referrals""",PASS,
anon,agent_referrals,SELECT,DENY,ALLOWED,0,,PASS,
anon,agent_referrals,UPDATE,DENY,ALLOWED,0,,PASS,
anon,agents,DELETE,DENY,ALLOWED,0,,PASS,
anon,agents,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agents""",PASS,
anon,agents,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,agents,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,branches,DELETE,DENY,ALLOWED,0,,PASS,
anon,branches,INSERT,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,branches,SELECT,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,branches,UPDATE,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,claims,DELETE,DENY,ALLOWED,0,,PASS,
anon,claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""claims""",PASS,
anon,claims,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,claims,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,commission_config,DELETE,DENY,ALLOWED,0,,PASS,
anon,commission_config,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commission_config""",PASS,
anon,commission_config,SELECT,DENY,ALLOWED,0,,PASS,
anon,commission_config,UPDATE,DENY,ALLOWED,0,,PASS,
anon,commissions,DELETE,DENY,ALLOWED,0,,PASS,
anon,commissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commissions""",PASS,
anon,commissions,SELECT,DENY,ERROR,,permission denied for function distributor_branch_ids,PASS,
anon,commissions,UPDATE,DENY,ERROR,,permission denied for function distributor_branch_ids,PASS,
anon,contact_submissions,DELETE,DENY,ALLOWED,0,,PASS,
anon,contact_submissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contact_submissions""",PASS,
anon,contact_submissions,SELECT,DENY,ALLOWED,0,,PASS,
anon,contact_submissions,UPDATE,DENY,ALLOWED,0,,PASS,
anon,contribution_run_uploads,DELETE,DENY,ALLOWED,0,,PASS,
anon,contribution_run_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_run_uploads""",PASS,
anon,contribution_run_uploads,SELECT,DENY,ALLOWED,0,,PASS,
anon,contribution_run_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
anon,contribution_runs,DELETE,DENY,ALLOWED,0,,PASS,
anon,contribution_runs,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_runs""",PASS,
anon,contribution_runs,SELECT,DENY,ALLOWED,0,,PASS,
anon,contribution_runs,UPDATE,DENY,ALLOWED,0,,PASS,
anon,contribution_schedules,DELETE,DENY,ALLOWED,0,,PASS,
anon,contribution_schedules,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""contribution_schedules""",PASS,
anon,contribution_schedules,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,contribution_schedules,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,custody_transfers,DELETE,DENY,ALLOWED,0,,PASS,
anon,custody_transfers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""custody_transfers""",PASS,
anon,custody_transfers,SELECT,DENY,ALLOWED,0,,PASS,
anon,custody_transfers,UPDATE,DENY,ALLOWED,0,,PASS,
anon,demo_personas,DELETE,DENY,ALLOWED,0,,PASS,
anon,demo_personas,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""demo_personas""",PASS,
anon,demo_personas,SELECT,DENY,ALLOWED,0,,PASS,
anon,demo_personas,UPDATE,DENY,ALLOWED,0,,PASS,
anon,distributors,DELETE,DENY,ALLOWED,0,,PASS,
anon,distributors,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""distributors""",PASS,
anon,distributors,SELECT,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,distributors,UPDATE,DENY,ERROR,,permission denied for function current_distributor_id,PASS,
anon,districts,DELETE,DENY,ALLOWED,0,,PASS,
anon,districts,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""districts""",PASS,
anon,districts,SELECT,SCOPED,ALLOWED,136,,PASS,
anon,districts,UPDATE,DENY,ALLOWED,0,,PASS,
anon,employer_invites,DELETE,DENY,ALLOWED,0,,PASS,
anon,employer_invites,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""employer_invites""",PASS,
anon,employer_invites,SELECT,DENY,ALLOWED,0,,PASS,
anon,employer_invites,UPDATE,DENY,ALLOWED,0,,PASS,
anon,employers,DELETE,DENY,ALLOWED,0,,PASS,
anon,employers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""employers""",PASS,
anon,employers,SELECT,DENY,ALLOWED,0,,PASS,
anon,employers,UPDATE,DENY,ALLOWED,0,,PASS,
anon,entity_detach_log,DELETE,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
anon,entity_detach_log,INSERT,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
anon,entity_detach_log,SELECT,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
anon,entity_detach_log,UPDATE,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
anon,entity_status_log,DELETE,DENY,ERROR,,permission denied for table entity_status_log,PASS,
anon,entity_status_log,INSERT,DENY,ERROR,,permission denied for table entity_status_log,PASS,
anon,entity_status_log,SELECT,DENY,ERROR,,permission denied for table entity_status_log,PASS,
anon,entity_status_log,UPDATE,DENY,ERROR,,permission denied for table entity_status_log,PASS,
anon,insurance_policies,DELETE,DENY,ALLOWED,0,,PASS,
anon,insurance_policies,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""insurance_policies""",PASS,
anon,insurance_policies,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,insurance_policies,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,money_nonces,DELETE,DENY,ALLOWED,0,,PASS,
anon,money_nonces,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""money_nonces""",PASS,
anon,money_nonces,SELECT,DENY,ALLOWED,0,,PASS,
anon,money_nonces,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,DELETE,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nav_snapshots""",PASS,
anon,nav_snapshots,SELECT,DENY,ALLOWED,0,,PASS,
anon,nav_snapshots,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,DELETE,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nominee_claims""",PASS,
anon,nominee_claims,SELECT,DENY,ALLOWED,0,,PASS,
anon,nominee_claims,UPDATE,DENY,ALLOWED,0,,PASS,
anon,nominees,DELETE,DENY,ALLOWED,0,,PASS,
anon,nominees,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nominees""",PASS,
anon,nominees,SELECT,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
anon,nominees,UPDATE,DENY,ERROR,,permission denied for function subscriber_agent_id,PASS,
