grantee,table_name,privilege_type
anon,access_requests,DELETE
anon,access_requests,INSERT
anon,access_requests,REFERENCES
anon,access_requests,SELECT
anon,access_requests,TRIGGER
anon,access_requests,TRUNCATE
anon,access_requests,UPDATE
anon,agent_referrals,DELETE
anon,agent_referrals,INSERT
anon,agent_referrals,REFERENCES
anon,agent_referrals,SELECT
anon,agent_referrals,TRIGGER
anon,agent_referrals,TRUNCATE
anon,agent_referrals,UPDATE
anon,agents,DELETE
anon,agents,INSERT
anon,agents,REFERENCES
anon,agents,SELECT
anon,agents,TRIGGER
anon,agents,TRUNCATE
anon,agents,UPDATE
anon,branches,DELETE
anon,branches,INSERT
anon,branches,REFERENCES
anon,branches,SELECT
anon,branches,TRIGGER
anon,branches,TRUNCATE
anon,branches,UPDATE
anon,claims,DELETE
anon,claims,INSERT
anon,claims,REFERENCES
anon,claims,SELECT
anon,claims,TRIGGER
anon,claims,TRUNCATE
anon,claims,UPDATE
anon,commission_config,DELETE
anon,commission_config,INSERT
anon,commission_config,REFERENCES
anon,commission_config,SELECT
anon,commission_config,TRIGGER
anon,commission_config,TRUNCATE
anon,commission_config,UPDATE
anon,commissions,DELETE
anon,commissions,INSERT
anon,commissions,REFERENCES
anon,commissions,SELECT
anon,commissions,TRIGGER
anon,commissions,TRUNCATE
anon,commissions,UPDATE
anon,contact_submissions,DELETE
anon,contact_submissions,INSERT
anon,contact_submissions,REFERENCES
anon,contact_submissions,SELECT
anon,contact_submissions,TRIGGER
anon,contact_submissions,TRUNCATE
anon,contact_submissions,UPDATE
anon,contribution_run_uploads,DELETE
anon,contribution_run_uploads,INSERT
anon,contribution_run_uploads,REFERENCES
anon,contribution_run_uploads,SELECT
anon,contribution_run_uploads,TRIGGER
anon,contribution_run_uploads,TRUNCATE
anon,contribution_run_uploads,UPDATE
anon,contribution_runs,DELETE
anon,contribution_runs,INSERT
anon,contribution_runs,REFERENCES
anon,contribution_runs,SELECT
anon,contribution_runs,TRIGGER
anon,contribution_runs,TRUNCATE
anon,contribution_runs,UPDATE
anon,contribution_schedules,DELETE
anon,contribution_schedules,INSERT
anon,contribution_schedules,REFERENCES
anon,contribution_schedules,SELECT
anon,contribution_schedules,TRIGGER
anon,contribution_schedules,TRUNCATE
anon,contribution_schedules,UPDATE
anon,custody_transfers,DELETE
anon,custody_transfers,INSERT
anon,custody_transfers,REFERENCES
anon,custody_transfers,SELECT
anon,custody_transfers,TRIGGER
anon,custody_transfers,TRUNCATE
anon,custody_transfers,UPDATE
anon,demo_personas,DELETE
anon,demo_personas,INSERT
anon,demo_personas,REFERENCES
anon,demo_personas,SELECT
anon,demo_personas,TRIGGER
anon,demo_personas,TRUNCATE
anon,demo_personas,UPDATE
anon,distributors,DELETE
anon,distributors,INSERT
anon,distributors,REFERENCES
anon,distributors,SELECT
anon,distributors,TRIGGER
anon,distributors,TRUNCATE
anon,distributors,UPDATE
anon,districts,DELETE
anon,districts,INSERT
anon,districts,REFERENCES
anon,districts,SELECT
anon,districts,TRIGGER
anon,districts,TRUNCATE
anon,districts,UPDATE
anon,employer_invites,DELETE
anon,employer_invites,INSERT
anon,employer_invites,REFERENCES
anon,employer_invites,SELECT
anon,employer_invites,TRIGGER
anon,employer_invites,TRUNCATE
anon,employer_invites,UPDATE
anon,employers,DELETE
anon,employers,INSERT
anon,employers,REFERENCES
anon,employers,SELECT
anon,employers,TRIGGER
anon,employers,TRUNCATE
anon,employers,UPDATE
anon,insurance_policies,DELETE
anon,insurance_policies,INSERT
anon,insurance_policies,REFERENCES
anon,insurance_policies,SELECT
anon,insurance_policies,TRIGGER
anon,insurance_policies,TRUNCATE
anon,insurance_policies,UPDATE
anon,money_nonces,DELETE
anon,money_nonces,INSERT
anon,money_nonces,REFERENCES
anon,money_nonces,SELECT
anon,money_nonces,TRIGGER
anon,money_nonces,TRUNCATE
anon,money_nonces,UPDATE
anon,nav_snapshots,DELETE
anon,nav_snapshots,INSERT
